Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
EventHub,check_throughput,349,0,1000,1022.0601719197708,930,3310,1296.4699140401146,0.11632229486846485,0.0,1000,1000,1100,1100,1100,1100,1100,1200,3300,3300,3300
MQTT,send_telemetry,453461,0,0,0.0003285839355534434,0,5,1026.0,151.1393242216302,0.0,0,0,0,0,0,0,0,0,0,1,5
,Aggregated,453810,0,0,0.7863378947136467,0,3310,1026.2080033494194,151.25564651649867,0.0,0,0,0,0,0,0,0,0,0,1100,3300
