Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
EventHub,check_throughput,350,0,1000,1024.3,934,1353,407.7657142857143,0.1166566910452643,0.0,1000,1000,1100,1100,1100,1100,1200,1200,1400,1400,1400
MQTT,send_telemetry,143187,0,0,0.0008101294111895633,0,59,1026.0,47.72491891628074,0.0,0,0,0,0,0,0,0,0,0,1,59
,Aggregated,143537,0,0,2.4984568438799752,0,1353,1024.4925001915883,47.84157560732601,0.0,0,0,0,0,0,0,0,0,1000,1200,1400
