Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
EventHub,check_throughput,422,0,1000,1016.973933649289,934,1240,435.68483412322274,0.11721438601512053,0.0,1000,1000,1100,1100,1100,1100,1200,1200,1200,1200,1200
MQTT,send_telemetry,184203,0,0,0.00041801707898351273,0,9,1026.0,51.16407949560011,0.0,0,0,0,0,0,0,0,0,0,1,9
,Aggregated,184625,0,0,2.3249289099526065,0,1240,1024.6507081922816,51.281293881615234,0.0,0,0,0,0,0,0,0,0,1000,1200,1200
