Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
EventHub,check_throughput,354,0,1000,1023.9943502824859,936,1226,126.82768361581921,0.11795045746177293,0.0,1000,1000,1100,1100,1100,1100,1200,1200,1200,1200,1200
MQTT,disconnect,45031,45031,0,0.0,0,0,0.0,15.00403121457937,15.00403121457937,0,0,0,0,0,0,0,0,0,0,0
MQTT,send_telemetry,104980,0,0,0.0003333968374928558,0,6,1026.0,34.978641311686225,0.0,0,0,0,0,0,0,0,0,0,1,6
,Aggregated,150365,45031,0,2.41099324975892,0,1226,716.6187410634124,50.10062298372736,15.00403121457937,0,0,0,0,0,0,0,0,1000,1100,1200
